model_name,accuracy,precision,recall,f1_score,roc_auc
cb,0.9530224230539688,0.9203606311044328,0.7335329341317365,0.8163945351549483,0.9559329893746656
lgbm,0.9520845766902548,0.9235474006116208,0.7233532934131737,0.8112827400940228,0.9569391190776813
xgb,0.9505499190041776,0.9025110782865584,0.7317365269461078,0.8082010582010583,0.9524185747205262
rf,0.94867422627675,0.9292604501607716,0.6922155688622754,0.7934111187371311,0.931740366567789
knn,0.9280416062750448,0.824685534591195,0.6281437125748504,0.7131203263086335,0.8694399748073195
dt,0.9115866655298832,0.6795235394214407,0.7173652694610778,0.6979318380425285,0.830598332115965
lr,0.8993094040412652,0.7560209424083769,0.4323353293413173,0.5500952380952381,0.8833485429975122
